0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0.000,0.010,0.030,0.055,0.107,0.165,0.183,0.200,0.260,0.302
0.000,0.090,0.161,0.172,0.247,0.259,0.281,0.371,0.401,0.429
0.000,0.010,0.060,0.081,0.118,0.142,0.158,0.169,0.232,0.262
0.000,0.016,0.076,0.087,0.104,0.127,0.198,0.208,0.218,0.258
0.000,0.036,0.096,0.176,0.204,0.242,0.281,0.325,0.415,0.495
0.000,0.014,0.102,0.112,0.194,0.277,0.289,0.305,0.335,0.391
0.000,0.037,0.064,0.078,0.096,0.124,0.164,0.234,0.254,0.326
0.000,0.035,0.086,0.105,0.174,0.267,0.277,0.347,0.361,0.384
0.000,0.067,0.148,0.161,0.173,0.184,0.218,0.219,0.229,0.275
0.000,0.025,0.052,0.064,0.076,0.151,0.187,0.205,0.222,0.262
